time,   leftEncoder,   rightEncoder,   leftMode,   rightMode
40975,  -17551,         0,      2,      0
40980,  -17551,         0,      2,      0
40985,  -17551,         0,      2,      0
40990,  -17551,         0,      2,      0
40995,  -17551,         0,      2,      0
41000,  -17551,         0,      2,      0
41005,  -17551,         0,      2,      0
41010,  -17551,         0,      2,      0
41015,  -17551,         0,      2,      0
41020,  -17551,         0,      2,      0
41025,  -17551,         0,      2,      0
41030,  -17551,         0,      2,      0
41035,  -17551,         0,      2,      0
41040,  -17551,         0,      2,      0
41045,  -17551,         0,      2,      0
41050,  -17551,         0,      2,      0
41055,  -17551,         0,      2,      0
41060,  -17551,         0,      2,      0
41065,  -17551,         0,      2,      0
41070,  -17551,         0,      2,      0
41075,  -17551,         0,      2,      0
41080,  -17551,         0,      2,      0
41085,  -17551,         0,      2,      0
41090,  -17551,         0,      2,      0
41095,  -17551,         0,      2,      0
41100,  -17551,         0,      2,      0
41105,  -17551,         0,      2,      0
41110,  -17551,         0,      2,      0
41115,  -17551,         0,      2,      0
41120,  -17551,         0,      2,      0
41125,  -17551,         0,      2,      0
41130,  -17551,         0,      2,      0
41135,  -17551,         0,      2,      0
41140,  -17551,         0,      2,      0
41145,  -17551,         0,      2,      0
41150,  -17551,         0,      2,      0
41155,  -17551,         0,      2,      0
41160,  -17551,         0,      2,      0
41165,  -17551,         0,      2,      0
41170,  -17551,         0,      2,      0
41175,  -17551,         0,      2,      0
41180,  -17551,         0,      2,      0
41185,  -17551,         0,      2,      0
41190,  -17551,         0,      2,      0
41195,  -17551,         0,      2,      0
41200,  -17551,         0,      2,      0
41205,  -17551,         0,      2,      0
41210,  -17551,         0,      2,      0
41215,  -17551,         0,      2,      0
41220,  -17551,         0,      2,      0
41225,  -17551,         0,      2,      0
41230,  -17551,         0,      2,      0
41235,  -17551,         0,      2,      0
41240,  -17551,         0,      2,      0
41245,  -17551,         0,      2,      0
41250,  -17551,         0,      2,      0
41255,  -17551,         0,      2,      0
41260,  -17551,         0,      2,      0
41265,  -17551,         0,      2,      0
41270,  -17551,         0,      2,      0
41275,  -17551,         0,      2,      0
41280,  -17551,         0,      2,      0
41285,  -17551,         0,      2,      0
41290,  -17551,         0,      2,      0
41295,  -17551,         0,      2,      0
41300,  -17551,         0,      2,      0
41305,  -17551,         0,      2,      0
41310,  -17551,         0,      2,      0
41315,  -17551,         0,      2,      0
41320,  -17551,         0,      2,      0
41325,  -17551,         0,      2,      0
41330,  -17551,         0,      2,      0
41335,  -17551,         0,      2,      0
41340,  -17551,         0,      2,      0
41345,  -17551,         0,      2,      0
41350,  -17551,         0,      2,      0
41355,  -17551,         0,      2,      0
41360,  -17551,         0,      2,      0
41365,  -17551,         0,      2,      0
41370,  -17551,         0,      2,      0
41375,  -17551,         0,      2,      0
41380,  -17551,         0,      2,      0
41385,  -17551,         0,      2,      0
41390,  -17551,         0,      2,      0
