time,   voltage,    leftMode,    rightMode
55045,  7804,   4,      0
55050,  7847,   4,      0
55055,  7879,   4,      0
55060,  7858,   4,      0
55065,  7804,   4,      0
55070,  7847,   4,      0
55075,  7847,   4,      0
55080,  7815,   4,      0
55085,  7815,   4,      0
55090,  7847,   4,      0
55095,  7793,   4,      0
55100,  7858,   4,      0
55105,  7804,   4,      0
55110,  7847,   4,      0
55115,  7858,   4,      0
55120,  7804,   4,      0
55125,  7847,   4,      0
55130,  7869,   4,      0
55135,  7815,   4,      0
55140,  7847,   4,      0
55145,  7815,   4,      0
55150,  7804,   4,      0
55155,  7869,   4,      0
55160,  7804,   4,      0
55165,  7804,   4,      0
55170,  7847,   4,      0
55175,  7869,   4,      0
55180,  7804,   4,      0
55185,  7804,   4,      0
55190,  7793,   4,      0
55195,  7847,   4,      0
55200,  7815,   4,      0
55205,  7847,   4,      0
55210,  7847,   4,      0
55215,  7815,   4,      0
55220,  7869,   4,      0
55225,  7879,   4,      0
55230,  7815,   4,      0
55235,  7761,   4,      0
55240,  7804,   4,      0
55245,  7782,   4,      0
55250,  7858,   4,      0
55255,  7804,   4,      0
55260,  7793,   4,      0
55265,  7815,   4,      0
55270,  7804,   4,      0
55275,  7847,   4,      0
55280,  7793,   4,      0
55285,  7804,   4,      0
55290,  7847,   4,      0
55295,  7847,   4,      0
55300,  7815,   4,      0
55305,  7869,   4,      0
55310,  7815,   4,      0
55315,  7782,   4,      0
55320,  7869,   4,      0
55325,  7793,   4,      0
55330,  7793,   4,      0
55335,  7804,   4,      0
55340,  7858,   4,      0
55345,  7782,   4,      0
55350,  7836,   4,      0
55355,  7869,   4,      0
55360,  7847,   4,      0
55365,  7847,   4,      0
55370,  7815,   4,      0
55375,  7782,   4,      0
55380,  7858,   4,      0
55385,  7804,   4,      0
55390,  7804,   4,      0
55395,  7847,   4,      0
55400,  7847,   4,      0
55405,  7858,   4,      0
55410,  7836,   4,      0
55415,  7847,   4,      0
55420,  7804,   4,      0
55425,  7847,   4,      0
55430,  7869,   4,      0
55435,  7847,   4,      0
55440,  7879,   4,      0
55445,  7847,   4,      0
55450,  7815,   4,      0
55455,  7869,   4,      0
55460,  7793,   4,      0
55465,  7804,   4,      0
55470,  7815,   4,      0
55475,  7815,   4,      0
55480,  7793,   4,      0
55485,  7879,   4,      0
55490,  7890,   4,      0
55495,  7847,   4,      0
55500,  7858,   4,      0
55505,  7847,   4,      0
55510,  7804,   4,      0
55515,  7815,   4,      0
55520,  7793,   4,      0
55525,  7869,   4,      0
55530,  7804,   4,      0
55535,  7847,   4,      0
55540,  7847,   4,      0
55545,  7869,   4,      0
55550,  7815,   4,      0
55555,  7847,   4,      0
55560,  7761,   4,      0
55565,  7858,   4,      0
55570,  7858,   4,      0
55575,  7847,   4,      0
55580,  7847,   4,      0
55585,  7804,   4,      0
55590,  7847,   4,      0
55595,  7869,   4,      0
55600,  7804,   4,      0
55605,  7804,   4,      0
55610,  7815,   4,      0
55615,  7804,   4,      0
55620,  7847,   4,      0
55625,  7804,   4,      0
55630,  7847,   0,      0
55635,  7804,   0,      0
55640,  7804,   0,      0
55645,  7879,   0,      0
55650,  7847,   0,      0
55655,  7858,   0,      0
55660,  7847,   0,      0
55665,  7804,   0,      0
55670,  7847,   0,      0
55675,  7879,   0,      0
55680,  7793,   0,      0
55685,  7804,   0,      0
55690,  7804,   0,      0
55695,  7847,   0,      0
55700,  7804,   0,      0
55705,  7858,   0,      0
55710,  7804,   0,      0
55715,  7804,   0,      0
55720,  7793,   0,      0
55725,  7815,   0,      0
55730,  7804,   0,      0
55735,  7815,   0,      0
55740,  7879,   0,      0
55745,  7869,   0,      0
55750,  7804,   0,      0
55755,  7869,   0,      0
55760,  7815,   0,      0
55765,  7804,   0,      0
55770,  7836,   0,      0
55775,  7804,   0,      0
55780,  7804,   0,      0
55785,  7836,   0,      0
55790,  7858,   0,      0
55795,  7815,   0,      0
55800,  7804,   0,      0
55805,  7804,   0,      0
55810,  7847,   0,      0
55815,  7847,   0,      0
55820,  7804,   0,      0
55825,  7804,   0,      0
55830,  7847,   0,      0
55835,  7847,   0,      0
55840,  7858,   0,      0
55845,  7847,   0,      0
55850,  7804,   0,      0
55855,  7869,   0,      0
55860,  7847,   0,      0
55865,  7879,   0,      0
55870,  7793,   0,      0
55875,  7804,   0,      0
55880,  7782,   0,      0
55885,  7847,   0,      0
55890,  7879,   0,      0
55895,  7847,   0,      0
55900,  7804,   0,      0
55905,  7707,   0,      0
55910,  7761,   0,      0
55915,  7847,   0,      0
55920,  7858,   0,      0
55925,  7815,   0,      0
55930,  7869,   0,      0
55935,  7804,   0,      0
55940,  7804,   0,      0
55945,  7782,   0,      0
55950,  7804,   0,      0
55955,  7804,   0,      0
55960,  7804,   0,      0
55965,  7869,   0,      0
55970,  7804,   0,      0
55975,  7782,   0,      0
55980,  7804,   0,      0
55985,  7782,   0,      0
55990,  7793,   0,      0
55995,  7804,   0,      0
56000,  7804,   0,      0
56005,  7793,   0,      0
56010,  7804,   0,      0
56015,  7793,   0,      0
56020,  7804,   0,      0
56025,  7847,   0,      0
56030,  7793,   0,      0
56035,  7879,   0,      0
56040,  7804,   0,      0
56045,  7793,   0,      0
56050,  7815,   0,      0
56055,  7869,   0,      0
56060,  7815,   0,      0
56065,  7922,   0,      0
56070,  7869,   0,      0
56075,  7847,   0,      0
56080,  7879,   0,      0
56085,  7879,   0,      0
56090,  7804,   0,      0
56095,  7879,   0,      0
56100,  7858,   0,      0
56105,  7761,   0,      0
56110,  7782,   0,      0
56115,  7782,   0,      0
56120,  7869,   0,      0
56125,  7793,   0,      0
56130,  7804,   0,      0
56135,  7793,   0,      0
56140,  7782,   0,      0
56145,  7869,   0,      0
56150,  7782,   0,      0
56155,  7793,   0,      0
56160,  7847,   0,      0
56165,  7793,   0,      0
56170,  7847,   0,      0
56175,  7782,   0,      0
56180,  7793,   0,      0
56185,  7815,   0,      0
56190,  7879,   0,      0
56195,  7815,   0,      0
56200,  7782,   0,      0
56205,  7804,   0,      0
56210,  7815,   0,      0
56215,  7869,   0,      0
56220,  7858,   0,      0
56225,  7869,   0,      0
56230,  7815,   0,      0
56235,  7869,   0,      0
56240,  7847,   0,      0
56245,  7804,   0,      0
56250,  7804,   0,      0
56255,  7804,   0,      0
56260,  7793,   0,      0
56265,  7901,   0,      0
56270,  7815,   0,      0
56275,  7782,   0,      0
56280,  7815,   0,      0
56285,  7782,   0,      0
56290,  7869,   0,      0
56295,  7847,   0,      0
56300,  7847,   0,      0
56305,  7879,   0,      0
56310,  7761,   0,      0
56315,  7869,   0,      0
56320,  7804,   0,      0
56325,  7847,   0,      0
56330,  7901,   0,      0
56335,  7858,   0,      0
56340,  7804,   0,      0
56345,  7836,   0,      0
56350,  7869,   0,      0
56355,  7847,   0,      0
56360,  7858,   0,      0
56365,  7782,   0,      0
56370,  7804,   0,      0
56375,  7858,   0,      0
56380,  7879,   0,      0
56385,  7836,   0,      0
56390,  7847,   0,      0
56395,  7793,   0,      0
56400,  7761,   0,      0
56405,  7815,   0,      0
56410,  7922,   0,      0
56415,  7804,   0,      0
56420,  7836,   0,      0
56425,  7804,   0,      0
56430,  7804,   0,      0
56435,  7804,   0,      0
56440,  7858,   0,      0
56445,  7858,   0,      0
56450,  7847,   0,      0
56455,  7793,   0,      0
56460,  7847,   0,      0
56465,  7858,   0,      0
56470,  7847,   0,      0
56475,  7815,   0,      0
56480,  7847,   0,      0
56485,  7804,   0,      0
56490,  7782,   0,      0
56495,  7858,   0,      0
56500,  7815,   0,      0
56505,  7858,   0,      0
56510,  7869,   0,      0
56515,  7804,   0,      0
56520,  7782,   0,      0
56525,  7782,   0,      0
56530,  7847,   0,      0
56535,  7847,   0,      0
56540,  7847,   0,      0
56545,  7879,   0,      0
56550,  7847,   0,      0
56555,  7847,   0,      0
56560,  7847,   0,      0
