x,y,theta,v,omega
0.05, 0.07, 1.92, 0.12, 0.72
0.04, 0.08, 2.15, 0.12, 0.74
0.04, 0.09, 2.38, 0.12, 0.73
0.03, 0.10, 2.61, 0.12, 0.72
0.01, 0.10, 2.84, 0.12, 0.71
0.00, 0.10, 3.08, 0.12, 0.74
-0.01, 0.10, -2.97, 0.11, 0.70
-0.02, 0.10, -2.74, 0.12, 0.74
-0.03, 0.09, -2.50, 0.12, 0.73
-0.04, 0.08, -2.27, 0.11, 0.71
-0.05, 0.07, -2.05, 0.12, 0.71
-0.05, 0.06, -1.82, 0.12, 0.72
-0.05, 0.05, -1.59, 0.12, 0.72
-0.05, 0.04, -1.36, 0.12, 0.72
-0.05, 0.03, -1.13, 0.12, 0.72
-0.04, 0.02, -0.90, 0.12, 0.73
-0.03, 0.01, -0.67, 0.12, 0.74
-0.02, 0.00, -0.44, 0.11, 0.70
-0.01, 0.00, -0.21, 0.11, 0.69
0.00, 0.00, 0.02, 0.11, 0.71
0.01, 0.00, 0.25, 0.12, 0.71
0.02, 0.01, 0.48, 0.12, 0.72
0.03, 0.01, 0.71, 0.11, 0.70
0.04, 0.02, 0.94, 0.12, 0.73
0.05, 0.03, 1.17, 0.12, 0.74
0.05, 0.04, 1.40, 0.12, 0.73
0.05, 0.05, 1.63, 0.12, 0.73
0.05, 0.07, 1.85, 0.12, 0.74
0.04, 0.08, 2.09, 0.11, 0.71
0.04, 0.09, 2.32, 0.11, 0.69
0.03, 0.09, 2.55, 0.12, 0.74
0.02, 0.10, 2.78, 0.11, 0.69
0.01, 0.10, 3.01, 0.11, 0.70
-0.01, 0.10, -3.04, 0.11, 0.71
-0.02, 0.10, -2.80, 0.12, 0.74
-0.03, 0.09, -2.57, 0.12, 0.73
-0.04, 0.09, -2.34, 0.12, 0.72
-0.04, 0.08, -2.11, 0.11, 0.70
-0.05, 0.07, -1.88, 0.11, 0.70
-0.05, 0.06, -1.65, 0.11, 0.70
-0.05, 0.04, -1.43, 0.11, 0.69
